catalogue_id,page_label,iiif_url
BO0624_15269,p. 18,https://historica.unibo.it/iiif-server/40f8f2a0-cd5a-40ed-8605-a7ad3a39d484/full/full/0/default.jpg
BO0624_15269,p. 19,https://historica.unibo.it/iiif-server/12d8b3cf-1bd5-4d3d-af9b-334f463fea47/full/full/0/default.jpg
BO0624_15269,p. 20,https://historica.unibo.it/iiif-server/b0703946-fd36-4ba3-977c-5bb80d834266/full/full/0/default.jpg
BO0624_15269,p. 21,https://historica.unibo.it/iiif-server/167a0d99-3e33-4bb1-8813-00d7a8e52b5a/full/full/0/default.jpg
BO0624_15269,p. 22,https://historica.unibo.it/iiif-server/c4f307b3-609f-4c22-aca6-06cd406f368e/full/full/0/default.jpg
BO0624_15269,p. 23,https://historica.unibo.it/iiif-server/53326ac7-844d-44b4-b1c0-f9db318c87cd/full/full/0/default.jpg
BO0624_15269,p. 24,https://historica.unibo.it/iiif-server/68b80992-e5a7-4042-be84-90328caf94e6/full/full/0/default.jpg
BO0624_15269,p. 25,https://historica.unibo.it/iiif-server/33bfeefa-0644-49b0-8ca0-9dca8318e786/full/full/0/default.jpg
BO0624_15269,p. 26,https://historica.unibo.it/iiif-server/881a6417-96df-46c4-92c1-eb59b71c93b7/full/full/0/default.jpg
BO0624_15269,p. 27,https://historica.unibo.it/iiif-server/415e3adb-f916-4d5d-837b-8cafae40db64/full/full/0/default.jpg
BO0624_15269,p. 28,https://historica.unibo.it/iiif-server/f7d2d4d1-88bd-413a-9d78-5cf5bbf7ec51/full/full/0/default.jpg
BO0624_15269,p. 29,https://historica.unibo.it/iiif-server/3a65fac1-e462-4c54-9543-338e9ad597f0/full/full/0/default.jpg
BO0624_15269,p. 30,https://historica.unibo.it/iiif-server/cc91a10d-8c22-4c42-b0f7-26c0846a3758/full/full/0/default.jpg
BO0624_15269,p. 31,https://historica.unibo.it/iiif-server/71747f84-0785-42ae-aba3-bb80098dce2d/full/full/0/default.jpg
BO0624_15269,p. 32,https://historica.unibo.it/iiif-server/4dd460fb-2cff-4e5f-8ad9-6c10b69f5a02/full/full/0/default.jpg
BO0624_15269,p. 33,https://historica.unibo.it/iiif-server/2a3b79cd-6f95-46cf-91e1-e07f1db63c43/full/full/0/default.jpg
BO0624_15269,p. 34,https://historica.unibo.it/iiif-server/6a696570-4470-452a-889d-c67be875a091/full/full/0/default.jpg
BO0624_15269,p. 35,https://historica.unibo.it/iiif-server/a991f76e-39eb-4d9b-bb8f-3c6d168d2f62/full/full/0/default.jpg
BO0624_15269,p. 36,https://historica.unibo.it/iiif-server/c03f65a2-9b51-41ac-8bbe-4dd161929171/full/full/0/default.jpg
BO0624_15269,p. 8,https://historica.unibo.it/iiif-server/ff2c9484-dd9e-4e5b-9e4b-2e11e63af079/full/full/0/default.jpg
BO0624_15269,p. 9,https://historica.unibo.it/iiif-server/d0c01186-5d73-48b5-bf37-9be8df1cae2e/full/full/0/default.jpg
