canonical,variants,count
JACQUE,JACQUE | JACQUEMART | JACQUEMIN | JACQUES RUCH | JACQUET | Jacque,81
DEBUCOURT,DE COURT | DEBUCOURT,81
BOUDIN (E.),BOUDIN (E.) | BOUDIN (EUG.) | BOUDIN (Eug.) | BOUDIN(E.),81
OSTADE,OSTADE | Ostade,80
DAVID,DAVID | DAVIS | David,79
August Seidel,AUGUST RIEDEL | AUGUST SEIDEL | AUGUST SEIDL | AUGUST SIEGEN | AUGUST VON SEIDEL | August Riedel | August SEIDEL | August Seidel | August Seidl | August v.Riedel,79
REMBRANDT VAN RYN,REMBRANDT (VAN RHYN) | REMBRANDT (VAN RYN.A.) | REMBRANDT VAN RHYN | REMBRANDT VAN RIIN | REMBRANDT VAN RIJN | REMBRANDT VAN RYJN | REMBRANDT VAN RYN | REMBRANDT VON RIJN | REMBRANDT van RIJN | Rembrandt van Rhyn | Rembrandt van Riin | Rembrandt van Rijn | Rembrandt van Ryn,78
BREUGHEL,BREUGHEL | BREUGHELE | BRUEGHEL | BRUGHEL | Breughel | Brueghel,78
R.B.BROWNING,R.B. BROWNING | R.B.BROWNING | R.BARRETT BROWNING,78
GUSTAV SCHONLEBER,GUSTAV SCHOENLEBER | GUSTAV SCHONLEBER | GUSTAV SCHRAEGLE | GUSTAVSCHOENLEBER | GUSTAVSCHONLEBER | Gustav Ditscheiner | Gustav Schoenleber | Gustav Schonleber | Gustav Schraegle | Gustav SchÃ¶nleber | Gustav. Schonleber,78
J. Jungblut,J. JUNGBLUT | J. JUNGBLUTH | J. Jungblut | J. Jungbluth | J.JUNGBLUT | J.JUNGBLUTH | J.Jungblut | J.Jungbluth,78
Julius Scheuerer,JULIUS SCHEUERER | JULIUS SCHEURER | JULIUS SCHRADER | JULIUS SCHRAG | Julius SCHEUERER | Julius SCHRAG | Julius Scheuerer | Julius Scheurer | Julius Schgoer | Julius Schgoerr | Julius Schoppe | Julius Schrader | Julius Schrag,77
JAN BOTH,JAN BOOTH | JAN BOTH | Jan BOTH | Jan Bofh | Jan Both,76
DAUBIGNY,DAUBIGNI | DAUBIGNY | Daubigny,75
TROYON,TROY | TROYON | Troyon,74
HEINRICH VON ZUGEL,HEINRICH VON ZUGEL | HEINRICH ZUGEL | HEINRICH von ZUGEL | HEINRICH von ZuGEL | Heinrich Johann von Zugel | Heinrich Zugel | Heinrich von Zigel | Heinrich von Zugel | Heinrich von Zuigel | Heinrich von ZÃ¼gl,74
JAN WIJNANTS,JAN WIJNANTS | JAN WINANTS | JAN WJNANTS | JAN WYNANDS | JAN WYNANTS | JANWYNANTS | Jan WIJNANTS | Jan WYNANTS | Jan Wijnants | Jan Wiynants | Jan Wynands | Jan Wynants,73
Jan Davidsz de Heem,JAN DAVIDS DE HEEM | JAN DAVIDSZ DE HEEM | JAN DAVIDSZ. DE HEEM | JAN DAVIDSZ.DE HEEM | JAN DAVIDZ DE HEEM | JAN DAVIDZ de HEEM | JEAN DAVID DE HEEM | JOHANN DAVIDSZ DE HEEM | JOHANN DAVIDSZ.DE HEEM | Jan David de Heem | Jan Davidsz DE HEEM | Jan Davidsz de Heem | Jan Davidsz. de Heem | Jan Davidz DE HEEM | Jan Davidz de Heem | Jean David de Heem | Johann Davidsz. de Heem,73
CARRIERE,CARRACHE | CARRE | CARRIERA | CARRIERE,73
CHARLES HOGUET,CHARLES HOGUET | CHARLES HOUGET | CHARLES HUNT | CHARLES HUTIN | CHARLESHOGUET | Charles Hoguet | Charles Houben,73
LANCRET,"LANCRET | Lancret | Lancret, N.",73
P.P. Rubens,P. P. Rubens | P.-P. Rubens | P.P. Rubens,73
Hermann Baisch,HERMAN BAISCH | HERMANN ANSCHUTZ | HERMANN BAISCH | HERMANN KATSCH | Hermann BAISCH | Hermann Baisch | Herrmann Baisch,73
AELBERT CUYP,AELBERT CUIJP | AELBERT CUYP | Aebert Cuijp | Aelbert CuYP | Aelbert Cuiip | Aelbert Cuijp | Aelbert Cuy'p | Aelbert Cuyp | Aelhert Cuyp,72
GOYEN,GOIJEN | GOYEIN | GOYEN,72
PHILIPS WOUWERMAN,PHILIP W0UVERMAN | PHILIP WOUVERMAN | PHILIP WOUWERMAN | PHILIP WOUWERMANN | PHILIPP WOUVERMAN | PHILIPP WOUVERMANN | PHILIPP WOUWERMAN | PHILIPP WOUWERMANS | PHILIPPE WOUVERMANS | PHILIPPS WOUWERMAN | PHILIPPWOUWERMANN | PHILIPS WOUVERMAN | PHILIPS WOUWERMAN | PHILIPS WOUWERMANN | PHILIPS WOUWERMANS | PHILIPSWOUWERMAN | Philippe WOUWERMAN,71
Simon de Vlieger,SIMON DE VLIEGER | SIMON IACOBSZ DE VLIEGER | SIMON JACOBSZ DE VLIEGER | SIMON JAKOBSZ DE VLIEGER | SIMON de VLIEGER | Simon Jacobsz de Vlieger | Simon de Dlieger | Simon de Vlieger,71
REYNOLDS,REYNOLDS,70
MOREAU le Jeune,MOREAU LE JEUNE | MOREAU LEJEUNE | MOREAU le Jeune,70
FANTIN-LATOUR,"FANTIN-LATOUR | FANTIN-LATOUR HENRI | FANTIN-LATOUR,HENRI",70
Karl Heffner,CARL HEFFNER | Carl Heffner | Carl Hefner | KARL HEFFNER | Karl Heffner | Karl Hefiner | Karl Hefner,70
LAMI,LAMI | LAMPI,69
SISLEY,SISLEY | SISLEY (A.),69
Karl Raupp,CARL RAUPP | Carl Raupp | KARL RAUPP | Karl Raupp,69
Josef Wopfner,JOSEF WOPFNER | JOSEPH WOPFNER | Josef Wopfner | Joseph WOPFNER | Joseph Wopfner,69
A.VAN DYCK,A. VAN DYCK | A. van DYCK | A. van Dyck | A.VAN DYCK | A.van DYCK | A.van Dyck,68
ANTONIUS VAN DYCK,ANTH0NIS VAN DYCK | ANTHONIE VAN DYCK | ANTHONIS VAN DYCK | ANTHONIS VANDYCK | ANTOINE VAN DYCK | ANTON VAN DYCK | ANTONI VAN DYCK | ANTONIS VAN DYCK | ANTONIUS VAN DYCK | ANTONIUS VANDYCK | ANTONIUS van DYCK | Anthonie VAN DYCK | Anthonis VAN DYCK,68
MEINDERT HOBBEMA,MEINDERT HOBBEMA | MEINDERTHOBBEMA | Meindert HOBBEMA | Meindert Hobbema,68
DROUAIS,DROMAIS | DROUAIS | DROUAISI.H | Drouais,68
VOLLON,VOLLON | Vollon,68
COURBET,COURBET | Courbet,68
EISEN,EISEN | O.Eisen,68
DIRK HALS,DIRCK HALS | DIRK HALS | Dirck HALS | Dirck Hals | Dirk HALS | Dirk Hals,67
EDUARD HILDEBRANDT,EDUARD HILDEBRAND | EDUARD HILDEBRANDT | EDUARDHILDEBRANDT | Eduard Hildebrand | Eduard Hildebrandt,67
LE PRINCE,LE PRINCE | LE PRINCE (J.-B.) | LE PRINCE (JEAN-BAPTIsTE) | LE PRINCE (Jean-Baptiste) | Le Prince,67
CANALETTO,CANALETTO | Canaletto,66
MIGNARD,MIGNARD | MIGNARD(Ecole de),66
PAULUS POTTER,PAUL POTTER | PAULUS POTTER | PAuLuS POTTER | Paul Potter | Paulus Potter,65
REMBRANDT HARMENSZ VAN RIJN,"REMBRANDT HARMENSZ | REMBRANDT HARMENSZ V. RIJN | REMBRANDT HARMENSZ VAN RHYN | REMBRANDT HARMENSZ VAN RIJN | REMBRANDT HARMENSZ VAN RYN | REMBRANDT HARMENSZ v.RIJN | REMBRANDT HARMENSZ. VAN RIJN | REMBRANDT HARMENSZ.VAN RIJN | REMBRANDT HARMENSZVAN RIJN | REMBRANDT Harmensz van Rijn | Rembrandt Barmensz D. Rijn | Rembrandt Harmensz v. Rijn | Rembrandt Harmensz van Rhin | Rembrandt Harmensz van Rijn | Rembrandt Harmensz van Ryn | Rembrandt Harmensz. van Rhyn | Rembrandt Harmensz. van Rijn | Rembrandt Harmensz.van Rijn | Rembrandt Harmenz van Ryn | Rembrandt, Harmensz v. Rijn | Rembrandt, Harmensz van Rijn | Rembrandt, Harmensz van Ryn",65
Julius Lange,JULIUS LANGE | JULIUS LAUGE | Julius LANGE | Julius Lange | Julius Langer,65
C.W.E.DIETRICH,C. W. E.DIETRICH | C. W. E.Dietrich | C. W.E.Dietrich | C.W. E.DIETRICH | C.W. E.Dietrich | C.W. E.Dietridh | C.W.E.DIETRICH | C.W.E.Diefricdh | C.W.E.Diefrich | C.W.E.Diefridh | C.W.E.Dietrich | Ch. W.E. Diefrich | Ch.W.E.Dietrich | Chr.W.E.Dietrich,65
