index,num,title,text,catalogue_id,image_online
31,72,73,"72

73

Marine.

Barques echouees sur la plage.

Signe:Heyst.Etude. J.V.D. S.

Toile,Haut,o.5o; Larg.0.70.

## AUG.DAEL

## Le Petit Modele.

Etude de petit garcon.

Toile.Haut.o.4o;Larg.o.25.

## NICOLASVAN DEN EEDEN

Etude de jeune fille.

Toile. Haut.o.58;Larg.o.38.

## LE MEME

Etude de petit garcon.

Toile, Haut.o.3o; Larg.o.25.

ARM.HEINS

Marine.

Des pecheurs sont groupes au bord de la mer apres un orage.

Signe:A. HEINs, 1893.

Toile.Haut. o.7o;Larg.o.50.

J.VAN DER STRAETEN",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000191-p.%2024.jpg/full/max/0/default.jpg
32,74,75,"74

75",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000192-p.%2025.jpg/full/max/0/default.jpg
33,77,## AUG.DAEL,"77

## AUG.DAEL

Paysage avec figures.

Toile. Haut. 1.oo;Larg. I.40.

## G.VAN AISE

## Modele attendant la pose.

Une femme, assise sur un sopha, tient un album de photographies.

## LE MEME

## Saint Lievin en Flandre.

Le saint, exercant son apostolat en Flandre,impose les doigts aux yeux d'un aveugle. Un diacre l'accompagne. Des campagnards, attires par la renommee du saint, sont groupes au meme plan, pres d'une petite ferme a toit de chaume.

Au fond, échappee de paysage famand que traverse un char a bceufs.

Toile.Haut.1.oo;Larg.1.20.

## LE MEME

Prairies de faubourg a Gand.

Etude. Crepuscule.

Signe: G.VAN AIsE,1877.

Toile.Haut.o.64;Larg. o.44.

Toile Haut.o.55;Larg.0.40.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000192-p.%2025.jpg/full/max/0/default.jpg
34,79,80,"79

80",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000201-p.%2026.jpg/full/max/0/default.jpg
35,81,82,"81

82

## Etude.

Un vieillard en costume Louis XV, debout dans l'embrasure d'une porte; souleve une portiere de velours.

Signe: G.VAN AIsE, 1877.

## G.VAN AISE

## En attendant la bien-aimee.

Un jeune homme en costume du xvire siecle attend, une rose a la main.

Au fond, une draperie rayee, d’un ton dore, et une echappee de jardin.

Signee G.VAN AIsE, 1878.

## LE MEME

La Faunesse.(Buste.)

Signe: G.VAN AIsE,Bruxelles, 1881,

Toile.Haut.o 45;Larg.o.35.

## LE MEME

## Coin de musee.

Etude faite au Musee de Cluny.A droite, une salle avec lit de parade; sur la gauche, une statue de saint en bois sculpte est debout sur un bahut, devant une glace ou se reflechit un coin de salle d'armes.

## LE MEME

Etude de vieillard. (Buste.)

Toile.Haut,o 58;Lar g.o.40.

## LE MEME",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000201-p.%2026.jpg/full/max/0/default.jpg
36,84,85,"84

85

## XAVIER DE COCK

## Vaches a l'abreuvoir.

Une vache a robe blanche, une vache noire et une vache alezane se dirigent vers un ruisseau, conduites par une petite s'enfoncent dans les hautes herbes,et des peupliers plantes

Signature et date, 1875.

paysanne au costume pittoresque. Les betes et l'enfant drus, forment derriere eux, un rideau de fond opaque et verdoyant ou se joue la lumiere d'une claire journee d'ete.

Toile.Haut.1.o5;Larg.o.80.

## LE MEME

## Un ruisseau en Flandre.

Le ruisseau ou barbotte une troupe de canards fait une. trouee entre les rives couvertes d'un fouillis d'arbustes. Sur les verts intenses des saules et des frenes éclaires par transparence se detachent les troncs sombres des saules tailles en tetards. Au premier plan, des ajoncs et des fleurs

Signe et date, 1875.

Toile. Haut,1.oo; Larg.1.50.

## LEMEME

## Moutons dans une prairie.

Jour d'ete legerement couvert. Un troupeau de moutons pait dans une prairie des Flandres,a la lisiere d'un petit bois taillis, qui, s'éclaircissant vers la droite, laisse voir une echappee de paysage.

Signature et date: 1863.

Les animaux, peints avec une verite d'observation frappante, sont groupes dans des attitudes tres variees.Le berger, un bonhomme vetu d'une blouse et coiffe d'un haut de forme,fait,au fond,la causette avec de petitsramasseurs d bois mort.

Toile,Haut.1.3o;Larg.1.85

d'eau aux tons eclatants.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000202-p.%2027.jpg/full/max/0/default.jpg
37,88,8g,"88

8g

## Basse Cour.

Pres d'une petite ferme flamande, sous les pommiers charges de fruits d'un modeste verger,de petits enfants assisenrond devisent d'affaires probablement importantes; des poules picorent l'herbe, le chat ronronne au pied d'un arbre. Trois jeunes porcs ont ete admis a l'intimite de la famille, mais lheure de rentrer a l'etable,a sonne et une vieille paysanne,a figure digne de Breughel, chassea coups de baton un de ces compagnons de saint Antoine.

Toile.Haut.o.48;Larg.0.70.

Signe:XAvIER DE CocK, i865.

## LE MEME

## La Petite Gardeuse de vaches.

Soir d'une journeed'ete pluvieuse. Une fillette mene deux vaches paissant dans une prairie. La Lys la separe du fond du paysage montrant des prairies,une église de village et des fermes ombragees de bouquets d'arbres ou transparait le soleil couchant.

Toile.Haut.o.7o;Larg.1.06.

## CESAR DE COCK

## Le Ruisseau.

Un bouquet de saules se dresse a lavant-plan, penche sur un ruisseau que longe un sentier ou passe un chasseur. Sur la rive opposee, des vaches paissent dans une prairie ombragee d'arbres.

## XAVIER DE COCK

## Berger et troupeau traversant un gue.

Euvre des debuts du celebre animalier. (1845.)

Bois.Haut.o.38;Larg.o34

## LE MEME

Toile.Haut.o.35;Larg.o.5o.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000211-p.%2028.jpg/full/max/0/default.jpg
38,91,92,"91

92",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000222-p.%2029.jpg/full/max/0/default.jpg
39,93,94,"93

94

## Sous-Bois.

Les longues tiges des hetres montant droit tamisent le jour qui ne penetre dans le bois qu'avec des reflets de crepuscule. Au sommet, des coups de lumiere vifs font briller des troncs de bouleaux. Une figure de femme.

Toile.Haut o.65;Larg.0.45.

Signe.

## J.GEIRNAERT

## Chez le notaire.

Des paysans groupes autour du bureau d'un notaire campagnard, dans une vaste salle, discutent avec lui quelqu'affaire d'interet.

Bois.Haut.o.25;Larg.0.30.

## J.PAELINCK

L'Indiscret Mentor.

Bois. Haut.o.14;Larg.0 21

## LE MEME

Daphnis et Chloe.

Bois.Haut,o.15;Larg.0.12.

## CESAR DE COCK

## Sous-Bois au printemps.

Eclaircie au fond des halliers d'un bois en Flandre. Des perspectives s'échappent a travers les souples rameaux d'ar-

Signe et date 1882.

bres verts que troue la lumiere d'un ciel pluvieux.

Toile.Haut.I.oo;Larg.1.35.

## LE MEME",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000222-p.%2029.jpg/full/max/0/default.jpg
40,95,## J.DE.MAERTELAERE,"95

## J.DE.MAERTELAERE

Toile Haut. o.3o; Larg. o.40.

|     | Quatre études de paysages.                                 |
|-----|------------------------------------------------------------|",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000231-p.%2030.jpg/full/max/0/default.jpg
41,96,| Quatre idem idem.                                          |,| 96  | Quatre idem idem.                                          |,documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000231-p.%2030.jpg/full/max/0/default.jpg
42,97,| Neuf idem idem.                                            |,| 97  | Neuf idem idem.                                            |,documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000231-p.%2030.jpg/full/max/0/default.jpg
