ZERI,variants,new
,de treize armes anciennes,True
,DE VINGT ET UN VASES A ONGUENTS en verre irise,True
,dont plusieurs pieces conservent leurs rubans originaux,True
,F,True
,"in noce,con ricchi intagli a piante d'iris e lauri; vetrata a disegno",True
,March,True
,per ragguardevole che sia,True
,di n°,True
,del Conte Ferdinando Colonna di Stigliano,True
,Conte Lcone Bobrinsky),True
,del conte F,True
,Conte Leone Bobrinsky),True
,e ben conservato,True
,del secolo XIV,True
,del XV Secolo,True
,Lamponi dalla quale porta il timbro,True
,pregevole,True
,artistiques,True
,"di sigilli allegorici,in astuceio di madreperla e bronzo dorato",True
,del principe Borghese di Roma ed e descritto nel catalogo di quella raccolta al N,True
,del XVII,True
,poteva dirsi una raccolta di gioie,True
,Spitzer,True
,del Principe Gabrielli,True
,"di 9 bottiglie in cristallo antico di Boemia, forme e grandezze diverse",True
,fine XVI secolo,True
,di grande rarita ed importanza,True
,Smeriglio di Torino venduta nel 1886,True
,Ferroni,True
,"Sarti, 192",True
,"Sarti,n",True
,"Sarti, n",True
,da Museo,True
,in perfetto stato di conservazione,True
,du comte Jean Baptiste Costabili di Ferrara,True
,d''art une intuition exquise qui le guide a travers les infinies manifestations de la speculation,True
,"de belles choses a eté rassemblee par Mr Luigi Battistelli, avec une intelligence et un gout que ses amis de Milan ont ete a meme d'apprecier en frequentant sa Maison de Ventes, ses amis de Florence a sa maison de Borgo degli Albizi et dans sa belle villa sur la colline du Gelsomino",True
,"ont ete dispersees sous un coup sec de son marteau d'ivoire! Que de pages de l'histoire de l'Art se sont effeuillees ainsi! Et, par son entremise, que de choses belles ont passe embellir et orner des interieurs artistiques! Et il a garde ce qui lui a paru le plus beau et le plus significatif dans les manifestations d'art de tous les temps: les premieres tentatives incertaines et ingenues des mystiques vers une beaute nou- Lot de dessins a la sanguigne et au crayon, de bonnes écoles",True
,de petits canons de diverses epoques,True
,Stroganoff,True
,Jandolo,True
,Targioni,True
,Checcucci,True
,Prieto,True
,du duc de Varano,True
,DE PLAQUETTES ET D'APPLIQUES EN BRONZE,True
,DE MOULAGES DE MEDAILLES,True
,Giov,True
,du duc de Va,True
,"du duc de Varano, Ferrare",True
,du,True
,"Barbi-Cinti, Ferrare",True
,du marquis,True
,de Giov,True
,"du duc de Varano, Florence",True
,ARIGONI DE MILAN,True
,Addeo,True
,Gallegos,True
,Gallegos di Roma,True
,Checcucci a Firenze,True
,"Proprietario, che é un eminente Patrizio Bergamasco",True
,"di I1 fotografie della Villa Ghirlanda Silva di Cruisello, presso Monza",True
,completa di dipinti di Francesco,True
,di 33 fotografie riproducenti statue e busti classici Greci e Romani esistenti nei diversi musei,True
,"di 44 fotografie artistiche riproducenti chiese, monumenti",True
,"di 21 Incisioni su rame, riproducenti pitture di pale d'altari di celebri artisti italiani",True
,"di poesie e prose, Milano 15oo, in 8o",True
,di 14 fotografie artistiche riproducenti vedute e monu- menti delle principali citta d’Italia,True
,di 25 fotografie artistiche diverse,True
,"di bellezze femminile, 34 incisioni su rane dai dipinti del celebre artista",True
,Fusier,True
,"del Barone Heredia,in cornice nera a sbalzo,39x54",True
,"Passalacqua, splendida per forma e sagome Sec",True
,Woronzoff),True
,"originale, antico, raro",True
,"Sambalino, tela,firmata e dedicata ad A Provenzal in cornice dorata",True
,lavori bellissimi di argenteria fiorentina,True
,"DI OGGETTI DI SCAVO in bronzo, osso, terracotta, vetro e piombo; in tutto pezzi ventidue racchiusi in astuccio di pelle con fodera di seta verde",True
,del Cardinale Fesch,True
,DI MINIATURE GIAPPONESI su carta fnissima di riso,True
,di nove timbri-sigillo del secolo XV,True
,che rapdecorazione singolare e finepresenta una mente aristocratica,True
,di Roma sparita questo quadro sara apprezzato e conteso in cortese gara,True
,che e oggetto della presente vendita,True
,GIOVENE DE GIRASOLE,True
,Cristiano Banti),True
,dei marchesi Cambiaso di Genova (Vedi Illustrazione Tav,True
,dei Conti d'Essex nella loro,True
,del pittore Eugenio Buono di Napoli),True
,del pittore,True
,del,True
,Marvasi di Napoli,True
,Marvasi di Napoli ed illustrato nel libro 《Vita ed opere di Vincenzo Gemito 》 di Salvatore Di Giacomo a pag,True
,Marchese Caponazza di Napoli,True
,(un manico rotto e incollato),True
,del Cav,True
,di Mario Galli,True
,"e infine la lusinga di una breve dimora nella citta piena d'arte e di umbra dolcezza, mi fanno certo che avro la fortuna di vedere presenti, nei giorni della vendita, numerosissimi amici vecchi e nuovi",True
,in astuccio,True
,provenienti dalla vendita Gozzarini di Villanova,True
,artistico,True
,"venduta all'asta da certo Fassini, che egli, appunto ventisette anni or sono, non visito se non per caso",True
,Lurati sono questi,True
,di nove statuette in pietra antica scolpita di cui sette giapponesi e due piu grandi cinesi,True
,Misura: orologio m,True
,del marchese Crivelli),True
,ed in ottimo stato; m,True
,di arazzi: ad olio su tela; cm,True
,Stroga,True
,Conte Gregorio Stroganoff,True
,Forti,True
,Barone Rodolfo Kanzler,True
,Maglione),True
,del principe Pignatelli,True
,ed in Francia a Versailles,True
,dell'imperatrice Eugenia di Francia,True
,Tesorone),True
,Marvasi di Napoli ed illustrato nel libro -vita ed opere di Vincenzo Gemito - di Salvatore Di Giacomo a pag,True
,del Duca d'Orleans,True
,DI 111 MINIATURE SU RAME di pittori dei Sec,True
,"gia Messinges ora Fassini ed ivi attribuite a Van Bassern ma che il confronto di un quadro del Benedetti alla Pinacoteca di Modena,permette di assegnare con tutta sicurezza a questo pittore",True
,Fortuny,True
,Beckerath,True
,d''Arte del barone Alberto Fassini,True
,DI TRENTANOVE FRAMMENTI DI,True
,"Salvadori, Firenze",True
,Salvadori,True
,Volpi nel Palazzo Davanzati,True
,"Pedulli, Firenze",True
,Cigerza,True
,"Spitzer,vol IV,N",True
,di cinquantacinque mattonelle di maiolica Persiana e di Rodi,True
,Marchesa Ganney,True
,DI SEI SMALTI cinesi del Secolo XVIII racchiusi in piccola vetrina da tavolino con piedi dorati,True
,che oltre la marca di Sassonia ha quella in oro del decoratore,True
,DI SEI IDOLI in terracotta,True
,A,True
,"Amherst,Sangiorgi e A",True
,Hamilton e poi da quella del Visconte di Powerscourt,True
,Preece,True
,"de coquilles propres a orner les Cabinets des Curieux de cette partie de l'Histoire Naturelle, mises par ordre alphabetique, avec les notes des endroits d'ou elles se tirent, et des cabinets qui renferment les plus rares",True
,"La Faulotte, Stein, La Beraudiere, Hoffmann, Gavet, Muhlbacher, Odiot, Duclaux, etc",True
,"Doria, Bardini, Bryas, Chennevieres,baron Lepic, Guyot deVilleneuve, Ph",True
,"Spitzer, Paris, 1890",True
,de l'homme du monde et du curieux;avec une notice sur l'auteur par H,True
,de lord Northwick,True
,"of his grace the Duke of Devonshire, executed by Richard Earlom,in the manner and Taste of the originals",True
,Roxard de la Salle et a ete grave par G,True
,formee par M,True
,"de province, elle etait bien connue a Paris",True
,creee avec tant de gout par un amateur passionne,True
,"interessante de plus de cinq cents dessins, charges a la plume avec legendes eerites de la main de ce ca",True
,Bertaux,True
,Leopold Double,True
,of George 4h 1831,True
,du Duc de Hamilton (Hamilton Palace,True
,de lord Pembrocke,True
,Paravey (février 1879),True
,Paravey,True
,S,True
,Galitzin(1875),True
,Galitzin,True
,Mahou,True
,du vicomte de Saint-Seine,True
,du vicomte de SaintPierre (janvier 1872),True
,Edouard Fould,True
,Decloux,True
,de San Donato (187o),True
,du duc de Morny et Max Kann,True
,Edouard Fould(1869),True
,de San Donato(187o),True
,de San Donato,True
,du vicomte Clerc (1872),True
,"du Comte Armand Doria, que Corot,avec son eil fin,plein de spirituelle bonhomie,etait, en meme temps qu'un magnifique ecouteur de choses,un grand liseur d'ames",True
,"d'environ 32o pieces:bossettes,mors de cheval, appliques, etc",True
,"du Moniteur Universel; Description de 1Egypte; la France, par Cassini ; Classiques francais; Euvres de Napoléon Ill, Lord Byron, Histoire de Madame de Maintenon; Beranger, litterature, etc",True
,quon va disperser le prouvera mieux quaucune preface,True
,"Emile Lombard,1863",True
,du roi Louis-Philippe,True
