URI,label,type,wikidata_id,wikidata_label,wikidata_description,match_type
http://w3id.org/zac/casa_di_vendita_palazzo_simonetti,Casa di vendita Palazzo Simonetti,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_darte_cavalensi_e_botti,Galleria d'arte Cavalensi e Botti,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_luigi_bellini,Galleria Luigi Bellini,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_jean_charpentier,Galerie Jean Charpentier,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q3094593,Galerie Charpentier,"French art gallery at 76 rue du Faubourg-Saint-Honoré, Paris (today Sotheby's Paris)",alias
http://w3id.org/zac/galleria_dedalo,Galleria Dedalo,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_ugo_jandolo,Casa di vendite Ugo Jandolo,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/monte_di_pieta,Monte di Pietà,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q3862170,Monte di Pietà o Seralcadi,first-level unit of Palermo,label
http://w3id.org/zac/galerie_charpentier,Galerie Charpentier,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q3094593,Galerie Charpentier,"French art gallery at 76 rue du Faubourg-Saint-Honoré, Paris (today Sotheby's Paris)",label
http://w3id.org/zac/gustav_duensing,Gustav Duensing,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/aktiengesellschaft_für_auktionswesen,Aktiengesellschaft für Auktionswesen,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/hermann_nestle,Hermann Nestle,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q94865679,Hermann Nestler,,label
http://w3id.org/zac/auktions-haus_union_leo_spik,Auktions-Haus Union Leo Spik,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/hermann_lockner,Hermann Lockner,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_ugo_jandolo__casa_di_vendite_palazzo_simonetti,Casa di vendite Ugo Jandolo || Casa di vendite Palazzo Simonetti,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/sestieri_ettore,"Sestieri, Ettore",http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/casa_di_vendite_righetti,Casa di vendite Righetti,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
