catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4389,8,462,"a) MOZLEY J. B. Ruling Ideas... and their relation to Old Testament Faith. London, 1878.","462. a) MOZLEY J. B. Ruling Ideas... and their relation to Old Testament Faith. London, 1878.
- b) Book (The) of Mormon.
- c) GRAY ZABRISKIE G. The Scriptural doctrine. New York, 1875.
- d) LEWIS W. P. Lectionaries, English and Irish. Philadelphia, 1878."
documents/BO0624_4389,466,22,"London, 1872, voll. 2.","22. London, 1872, voll. 2.
- b) COTTERILL Henry. The Genesis of the Church. Edin-"
documents/BO0624_4389,22,24,"burgh and London, 1872.","24. burgh and London, 1872.
- c) GRESLEY W. Thoughts on the Bible. London, 1872."
documents/BO0624_4389,24,467,"a) MC GARVEY WILL. Liturgiae Americanae... To which is added a Bibliographical Sketch. Philadelphia, 1895, voll. 2.","467. a) MC GARVEY WILL. Liturgiae Americanae... To which 2. is added a Bibliographical Sketch. Philadelphia, 1895, voll. 2.
- b) BERSIER Eug. Liturgie des Eglises reformées, Paris, 1876."
documents/BO0624_4389,470,2,"Spire impressum finit feliciter. | Anno domini MccccLxxXIX (1489). Seguono Casus papales. In-4°, car. gat. con iniziali in rosso (segn. a-q.).","2. Spire impressum finit feliciter. | Anno domini MccccLxxXIX (1489). Seguono Casus papales. In-4°, car. gat. con iniziali in rosso (segn. a-q.)."
documents/BO0624_4389,2,6,") VEGIUS Maffeus. Liber e iureconsultorum scriptis excerptus... Vincentiae industria... Philippi albini | aquitani. Milesimo quadringentesimo I.XXVII (1477). In-4° (segn. a-f), car. got.","- 6) VEGIUS Maffeus. Liber e iureconsultorum scriptis excerptus... Vincentiae industria... Philippi albini | aquitani. Milesimo quadringentesimo I.XXVII (1477). In-4° (segn. a-f), car. got.

Esemplari assai ben conservati. Legat. in assi, di stile te- desco."
documents/BO0624_4389,6,471,"AEGIDIUS Romanus. Quodlibet et Theoremata. OCHAM (De) Gulielmus. De Sacramento altaris. Venetis, Peregr. de Pasqualibus, 1492; ibid., Simo de Luere, 1502, in-fol. car. got.","471. AEGIDIUS Romanus. Quodlibet et Theoremata. OCHAM (De) 2. Gulielmus. De Sacramento altaris. Venetis, Peregr. de Pasqualibus, 1492; ibid., Simo de Luere, 1502, in-fol. car. got."
documents/BO0624_4389,479,3,"siis, 1704, in-4° leg. in pelle con taglio dor.","3. siis, 1704, in-4° leg. in pelle con taglio dor.
- b) OFFICIA PROPRIA FESTORUM Bas. S. Mariae Transtyberim. Romae, 1646, in-8° leg. in pelle con lo stemma dei"
documents/BO0624_4389,3,5,principi Altieri impressovi in oro.,"5. principi Altieri impressovi in oro.
- c) ORDO ROM. PERPETUUS recitandi div. officium. Romae,"
documents/BO0624_4389,5,7,"1665, in-8°, leg. in pelle rossa con stemma cardinalizio, impressovi in oro.","7. 1665, in-8°, leg. in pelle rossa con stemma cardinalizio, impressovi in oro."
documents/BO0624_4389,7,480,GESANGE und LIEDER (GEISTREICHE) auf alle Sonntags-,480. GESANGE und LIEDER (GEISTREICHE) auf alle Sonntags-
documents/BO0624_4389,480,9,"2 voll. in-4° obl. Bell'opera ornata di oltre 400 artistiche figure, bene im-","9. 2 voll. in-4° obl. Bell'opera ornata di oltre 400 artistiche figure, bene im-"
documents/BO0624_4389,10,481,"a) BREVIARIUM ROMANUM. Romae, 186g.","481. a) BREVIARIUM ROMANUM. Romae, 186g."
documents/BO0624_4389,481,6,") MISSALE ROM. Mechiniae, 1866.","- 6) MISSALE ROM. Mechiniae, 1866.
- c) RITUALE ROM. Romae, 1872.
- d) CATECHISMUS ROM. ex decr. S. Concilii Trid. Romae,"
documents/BO0624_4389,6,5,1796.,5. 1796.
