catalogue_id,occurrences,types
BO0624_84301,10,aquarelles|buste|dessins|peinture|portrait|tableaux
BO0624_84302,10,panneau|paysage|sculptures|tableaux|tapisserie
BO0624_84305,19,aquarelles|bronze|buste|dessins|marbre|opera|portrait|sculptures|tableau|tableaux|tapisserie|terre cuite
BO0624_84306,15,dessins|portrait|tableaux
BO0624_84308,3,bronze|sculptures|tableaux
BO0624_84310,9,bronze|gravures|portrait|sculptures|tableaux|tapisserie
BO0624_84312,8,portrait|sculptures|tapisserie
BO0624_84313,8,aquarelles|dessins|paysage|paysages|peintures|portrait|sculptures|terre cuite
BO0624_84315,3,estampe|estampes|sculptures
BO0624_84316,1,sculptures
BO0624_84320,24,bronze|buste|marbre|paysage|portrait|sculptures|tableaux|tapisserie
BO0624_84322,1,tableaux
BO0624_84323,8,aquarelles|bronze|gravures|relief|sculptures|tableaux|tapisserie
BO0624_84324,2,portrait
BO0624_84326,6,dessin|portraits|sculptures|tableaux|tapisserie
BO0624_84327,10,dessin|portrait|tableaux
BO0624_84329,14,dessins|nature morte|paysage|portrait|sculptures|tableaux|tapisserie
BO0624_84330,6,dessin|paysage|portrait|tableau|tableaux
BO0624_84331,2,dessins|portrait
BO0624_84332,8,paysage|portrait|sculptures|tableaux
BO0624_84333,7,portrait|sculptures|tableaux
BO0624_84334,1,tapisserie
BO0624_84335,9,aquarelles|bronze|dessins|portrait|sculptures|tableaux|tapisserie
BO0624_84336,12,portrait
BO0624_84337,4,gravure|portrait|sculptures
BO0624_87361,2,gemalde|skulpturen
BO0624_87365,2,bronze|gemalde
BO0624_87366,10,bronze|gemalde|landschaft|portrait
BO0624_87371,9,gemalde|gemälde|portrait
BO0624_87374,2,gemalde|tafel
BO0624_87375,26,gemalde|landschaft|malerei|portrait|skizze
BO0624_87378,2,bronze|tableaux
BO0624_87380,8,bild|landschaft|stilleben
BO0624_87381,2,bronze|tafel
BO0624_87382,2,bronze|tafel
BO0624_87384,10,bronze|gemalde|landschaft|portrait
BO0624_87385,8,bronze|gemalde|landschaft|portrait
BO0624_87386,2,bronze|malerei
BO0624_87389,4,bilder|bronze|malerei|miniatur
BO0624_87390,24,bronze|gemalde|landschaft|portrait
BO0624_87393,1,gemalde
BO0624_87394,3,landschaft
BO0624_87396,4,bronze|gemalde|malerei|zeichnungen
BO0624_87400,21,landschaft|landschaften|miniatur|portrait|skizze
BO0624_87401,15,bild|landschaft|portrait
BO0624_87403,15,landschaft|portrait|stilleben
BO0624_87404,13,landschaft|malerei
BO0624_87405,7,bild|landschaft|lithographie|portrait|zeichnungen
