inventario,dc.title,handle,manifest
BO0624_88602,"Antiquitäten, alte Möbel und Bilder, Gobelins, Orientteppiche, Miniaturen, chinesische Grabplastik und Keramik aus norddeutschem u. anderem Besitz. Versteigerung: München, 1-2 Juli 1926",https://historica.unibo.it/handle/20.500.14008/94550,https://historica.unibo.it/server/iiif/0685cab1-4ddd-4fc5-8318-77913a4f59b8/manifest
BO0624_88396,"Sammlung Brunander: zwölfte Versteigerung [Gemälde, Bildewerke, Möbel und Antiquitäten: Sammlung Brunander Berlin: ... Versteigerung: 11 November u. folg. Tage]",https://historica.unibo.it/handle/20.500.14008/94385,https://historica.unibo.it/server/iiif/06c0874e-b5a3-44f4-b2de-9a832d43ebf4/manifest
BO0624_84082,"Catalogue de dessins, aquarelles, pastels anciens et modernes par N. Berghem, P. Bril ... composant la collection de Henri Haro: Paris, Hotel Drouot le samedi 3 février 1912",https://historica.unibo.it/handle/20.500.14008/93491,https://historica.unibo.it/server/iiif/070b0db8-cb02-4685-9eec-331881bd5487/manifest
BO0624_66070,"Catalogue of decorative furniture, objects of art and tapestry from various sources, and six panels of Paris tapestry removed from Battle Abbey: thursday, july 19, 1928",https://historica.unibo.it/handle/20.500.14008/93191,https://historica.unibo.it/server/iiif/073d89cf-4598-45ca-a673-4185856c4c93/manifest
BO0624_87539,Katalog von gemalden alterer und neurerer meister dabei das berühmte altkölnische altarbild aus dem besitze der Freiherrlich Von Hueneshen familie sowie von Eingerahmten Kupferstichen aus dem nachlasse des verstorbenen Herrn justizraath Steph.Sitt zu Köln. Versteigerung zu Köln den 25 bis 27 April 1898 bei J.M. Heberle (H.Lempertz'Söhne),https://historica.unibo.it/handle/20.500.14008/93804,https://historica.unibo.it/server/iiif/07717350-1dde-4c62-8b69-95930fb739d4/manifest
BO0624_87406,Katalog der reichhaltingen Kunst-Sammlung aus dem Nachlasse des Malers Herrn Franz Reichardt zu München ... Versteigerung zu Köln den 21. bis 24. October 1889 durch J. M. Heberle (H. Lemperz' Söhne),https://historica.unibo.it/handle/20.500.14008/93723,https://historica.unibo.it/server/iiif/077ede2a-e300-402e-9b18-68aaeffcaa04/manifest
BO0624_83722,Tableau par Honoré Fragonard ...: Hotel Drouot ... le mardi 9 juin 1903,https://historica.unibo.it/handle/20.500.14008/92810,https://historica.unibo.it/server/iiif/079732c6-a2c3-44ea-9ac5-f5d9da13f591/manifest
BO0624_88551,Ölgemälde und Handzeichnungen moderner Meister darunter aus mitteldeutschem Museumbesitz und aus anderem Besitze: Auktion in München in der Galerie Hugo Helbing ... den 10. und ... den 11. Dezember 1924,https://historica.unibo.it/handle/20.500.14008/94518,https://historica.unibo.it/server/iiif/07c02281-b04a-4ad1-9c2d-f24a9723db83/manifest
BO0624_83827,Catalogue des estampes anciennes et modernes ... porcelaines et faiences anciennes ...: mercredi 21 et jeudi 22 février 1906,https://historica.unibo.it/handle/20.500.14008/93318,https://historica.unibo.it/server/iiif/07d2e0ad-c2cc-49bf-970a-34c56b8c6d83/manifest
BO0624_87465,"Katalog der reichhaltigen und ausgewählten Kunst-Sammlung des Museums Christian Hammer in Stockholm, Serie 4, Töpfereien, Fayencen ... Versteigerung zu Köln den 15. bis 19. Juni 1894 durch J. M. Heberle (H. Lempertz' Sönhe)",https://historica.unibo.it/handle/20.500.14008/93760,https://historica.unibo.it/server/iiif/0823c0c5-506b-47d2-a4be-ee850e5477fe/manifest
BO0624_87716,"Oelgemälde und Aquarelle neuerer Künstler, Antiquitäten aus dem Nachlass des Herrn G., Dresden u. a. Beitrage: Kunstmobiliar, Siegburger, Kreussener und Frechner Krüge, Franzosische Bronzen ..., MünzSammlung, Grosse Kollektion Handzeichnungen und Aquarelle von Meistern des 16.-19. Jahrhunderts: Ausstellung, Sonntag, den 19. März und Montag, den 20. März 1905; Versteigerung, Dienstag, den 21. März und Mittwoch, den 22. März 1905",https://historica.unibo.it/handle/20.500.14008/93908,https://historica.unibo.it/server/iiif/08242c1b-23bc-4031-9162-dae4c368cb46/manifest
BO0624_83898,"Catalogue des tableaux, aquarelles & pastels ... Importantes tapisseries Flamandes ... objets d'art dépendant de la succession de M. Elie Léon: le lundi 3 juin 1907",https://historica.unibo.it/handle/20.500.14008/93365,https://historica.unibo.it/server/iiif/082de732-1bf8-4b3d-925d-1f21af1f16f3/manifest
